"speciesKey"	"species"	"decimalLatitude"	"decimalLongitude"	"kingdom"	"phylum"	"class"
"22964"	1311477	"Vespa velutina"	51.765823	7.11808	"Animalia"	"Arthropoda"	"Insecta"
"22972"	1311477	"Vespa velutina"	48.648388	7.888058	"Animalia"	"Arthropoda"	"Insecta"
"22993"	1311477	"Vespa velutina"	51.481609	7.210563	"Animalia"	"Arthropoda"	"Insecta"
"23003"	1311477	"Vespa velutina"	53.405228	12.287032	"Animalia"	"Arthropoda"	"Insecta"
"23009"	1311477	"Vespa velutina"	48.286987	8.805302	"Animalia"	"Arthropoda"	"Insecta"
"26967"	1311477	"Vespa velutina"	50.92238	5.69077	"Animalia"	"Arthropoda"	"Insecta"
"33215"	1311477	"Vespa velutina"	50.77319	4.91136	"Animalia"	"Arthropoda"	"Insecta"
"34566"	1311477	"Vespa velutina"	51.20455	4.11994	"Animalia"	"Arthropoda"	"Insecta"
"36802"	1311477	"Vespa velutina"	50.77417	3.65896	"Animalia"	"Arthropoda"	"Insecta"
"39169"	1311477	"Vespa velutina"	50.82444	4.40034	"Animalia"	"Arthropoda"	"Insecta"
"40106"	1311477	"Vespa velutina"	51.41253	5.0179	"Animalia"	"Arthropoda"	"Insecta"
"45348"	1311477	"Vespa velutina"	51.14597	5.81351	"Animalia"	"Arthropoda"	"Insecta"
"49747"	1311477	"Vespa velutina"	50.84348	4.91633	"Animalia"	"Arthropoda"	"Insecta"
"53544"	1311477	"Vespa velutina"	50.78368	2.82375	"Animalia"	"Arthropoda"	"Insecta"
"55072"	1311477	"Vespa velutina"	51.27531	3.03181	"Animalia"	"Arthropoda"	"Insecta"
"56037"	1311477	"Vespa velutina"	50.738085	7.622873	"Animalia"	"Arthropoda"	"Insecta"
"56281"	1311477	"Vespa velutina"	49.170004	8.3318	"Animalia"	"Arthropoda"	"Insecta"
"56496"	1311477	"Vespa velutina"	50.008015	8.263339	"Animalia"	"Arthropoda"	"Insecta"
"56501"	1311477	"Vespa velutina"	49.1829	8.019401	"Animalia"	"Arthropoda"	"Insecta"
"56505"	1311477	"Vespa velutina"	49.751429	7.173297	"Animalia"	"Arthropoda"	"Insecta"
"56691"	1311477	"Vespa velutina"	49.888985	7.114193	"Animalia"	"Arthropoda"	"Insecta"
"56845"	1311477	"Vespa velutina"	52.253288	8.825802	"Animalia"	"Arthropoda"	"Insecta"
"56859"	1311477	"Vespa velutina"	52.559116	13.943118	"Animalia"	"Arthropoda"	"Insecta"
"56895"	1311477	"Vespa velutina"	50.940678	11.56248	"Animalia"	"Arthropoda"	"Insecta"
"56901"	1311477	"Vespa velutina"	47.853493	12.141898	"Animalia"	"Arthropoda"	"Insecta"
"56925"	1311477	"Vespa velutina"	50.386166	9.138442	"Animalia"	"Arthropoda"	"Insecta"
"56926"	1311477	"Vespa velutina"	48.222118	16.357256	"Animalia"	"Arthropoda"	"Insecta"
"56931"	1311477	"Vespa velutina"	50.516575	9.603277	"Animalia"	"Arthropoda"	"Insecta"
"57236"	1311477	"Vespa velutina"	43.504974	-3.585424	"Animalia"	"Arthropoda"	"Insecta"
"57251"	1311477	"Vespa velutina"	49.00074	1.10465	"Animalia"	"Arthropoda"	"Insecta"
"57262"	1311477	"Vespa velutina"	49.30305	-1.69114	"Animalia"	"Arthropoda"	"Insecta"
"57266"	1311477	"Vespa velutina"	43.13906	5.76823	"Animalia"	"Arthropoda"	"Insecta"
"57303"	1311477	"Vespa velutina"	46.33705	2.82872	"Animalia"	"Arthropoda"	"Insecta"
"57528"	1311477	"Vespa velutina"	50.29001	2.76602	"Animalia"	"Arthropoda"	"Insecta"
"57569"	1311477	"Vespa velutina"	48.83717	1.69643	"Animalia"	"Arthropoda"	"Insecta"
"57596"	1311477	"Vespa velutina"	49.5895	-1.24747	"Animalia"	"Arthropoda"	"Insecta"
"57655"	1311477	"Vespa velutina"	44.63531	-1.02767	"Animalia"	"Arthropoda"	"Insecta"
"57727"	1311477	"Vespa velutina"	49.46253	1.12858	"Animalia"	"Arthropoda"	"Insecta"
"57762"	1311477	"Vespa velutina"	48.48348	4.61061	"Animalia"	"Arthropoda"	"Insecta"
"57765"	1311477	"Vespa velutina"	46.39055	4.59576	"Animalia"	"Arthropoda"	"Insecta"
"57767"	1311477	"Vespa velutina"	48.31429	4.10189	"Animalia"	"Arthropoda"	"Insecta"
"57779"	1311477	"Vespa velutina"	49.40666	4.31117	"Animalia"	"Arthropoda"	"Insecta"
"57786"	1311477	"Vespa velutina"	48.32774	0.7007	"Animalia"	"Arthropoda"	"Insecta"
"57794"	1311477	"Vespa velutina"	49.16711	-0.36775	"Animalia"	"Arthropoda"	"Insecta"
"57836"	1311477	"Vespa velutina"	48.61708	-4.4116	"Animalia"	"Arthropoda"	"Insecta"
"57909"	1311477	"Vespa velutina"	47.75019	4.49443	"Animalia"	"Arthropoda"	"Insecta"
"57910"	1311477	"Vespa velutina"	48.39117	-3.85214	"Animalia"	"Arthropoda"	"Insecta"
"57938"	1311477	"Vespa velutina"	44.48319	-0.12858	"Animalia"	"Arthropoda"	"Insecta"
"57946"	1311477	"Vespa velutina"	43.16029	-5.825642	"Animalia"	"Arthropoda"	"Insecta"
"58128"	1311477	"Vespa velutina"	53.075756	9.071816	"Animalia"	"Arthropoda"	"Insecta"
"58135"	1311477	"Vespa velutina"	43.186657	10.538235	"Animalia"	"Arthropoda"	"Insecta"
"58147"	1311477	"Vespa velutina"	51.403111	7.071425	"Animalia"	"Arthropoda"	"Insecta"
"58168"	1311477	"Vespa velutina"	53.052631	9.767833	"Animalia"	"Arthropoda"	"Insecta"
"58192"	1311477	"Vespa velutina"	51.177891	6.239302	"Animalia"	"Arthropoda"	"Insecta"
"58202"	1311477	"Vespa velutina"	49.374924	12.4912	"Animalia"	"Arthropoda"	"Insecta"
"58203"	1311477	"Vespa velutina"	47.560028	10.224658	"Animalia"	"Arthropoda"	"Insecta"
"58321"	1311477	"Vespa velutina"	47.293242	-0.141165	"Animalia"	"Arthropoda"	"Insecta"
"62182"	1311477	"Vespa velutina"	50.96342	3.11687	"Animalia"	"Arthropoda"	"Insecta"
"62373"	1311477	"Vespa velutina"	51.39121	4.4634	"Animalia"	"Arthropoda"	"Insecta"
"70597"	1311477	"Vespa velutina"	43.9388	-0.33472	"Animalia"	"Arthropoda"	"Insecta"
"70651"	1311477	"Vespa velutina"	47.96626	-2.06876	"Animalia"	"Arthropoda"	"Insecta"
"70696"	1311477	"Vespa velutina"	48.062861	5.152588	"Animalia"	"Arthropoda"	"Insecta"
"70708"	1311477	"Vespa velutina"	43.37011	-5.858406	"Animalia"	"Arthropoda"	"Insecta"
"70712"	1311477	"Vespa velutina"	42.984432	2.78156	"Animalia"	"Arthropoda"	"Insecta"
"70725"	1311477	"Vespa velutina"	44.657888	4.891343	"Animalia"	"Arthropoda"	"Insecta"
"70754"	1311477	"Vespa velutina"	49.387413	5.185503	"Animalia"	"Arthropoda"	"Insecta"
"70774"	1311477	"Vespa velutina"	52.991638	6.570817	"Animalia"	"Arthropoda"	"Insecta"
"70831"	1311477	"Vespa velutina"	53.478874	10.230948	"Animalia"	"Arthropoda"	"Insecta"
"70852"	1311477	"Vespa velutina"	51.594414	9.905981	"Animalia"	"Arthropoda"	"Insecta"
"70854"	1311477	"Vespa velutina"	51.94323	9.09104	"Animalia"	"Arthropoda"	"Insecta"
"70862"	1311477	"Vespa velutina"	44.211227	9.966757	"Animalia"	"Arthropoda"	"Insecta"
"70884"	1311477	"Vespa velutina"	52.700695	7.277014	"Animalia"	"Arthropoda"	"Insecta"
"70886"	1311477	"Vespa velutina"	52.142323	13.459004	"Animalia"	"Arthropoda"	"Insecta"
"70907"	1311477	"Vespa velutina"	53.061283	8.680025	"Animalia"	"Arthropoda"	"Insecta"
"70910"	1311477	"Vespa velutina"	51.261002	7.182	"Animalia"	"Arthropoda"	"Insecta"
"70961"	1311477	"Vespa velutina"	49.435435	1.330599	"Animalia"	"Arthropoda"	"Insecta"
"70962"	1311477	"Vespa velutina"	51.806917	6.604156	"Animalia"	"Arthropoda"	"Insecta"
"71035"	1311477	"Vespa velutina"	42.203668	2.19274	"Animalia"	"Arthropoda"	"Insecta"
"71082"	1311477	"Vespa velutina"	50.155786	5.987549	"Animalia"	"Arthropoda"	"Insecta"
"71254"	1311477	"Vespa velutina"	42.679428	-2.941821	"Animalia"	"Arthropoda"	"Insecta"
"71315"	1311477	"Vespa velutina"	42.803049	-9.129386	"Animalia"	"Arthropoda"	"Insecta"
"71349"	1311477	"Vespa velutina"	42.812412	-1.729313	"Animalia"	"Arthropoda"	"Insecta"
"71351"	1311477	"Vespa velutina"	44.009228	10.226213	"Animalia"	"Arthropoda"	"Insecta"
"71451"	1311477	"Vespa velutina"	42.839404	-8.255405	"Animalia"	"Arthropoda"	"Insecta"
"71528"	1311477	"Vespa velutina"	42.672504	-1.809659	"Animalia"	"Arthropoda"	"Insecta"
"71534"	1311477	"Vespa velutina"	44.125	5.171559	"Animalia"	"Arthropoda"	"Insecta"
"71574"	1311477	"Vespa velutina"	43.916954	8.072672	"Animalia"	"Arthropoda"	"Insecta"
"71609"	1311477	"Vespa velutina"	51.060805	2.452963	"Animalia"	"Arthropoda"	"Insecta"
"71630"	1311477	"Vespa velutina"	43.73187	-7.698262	"Animalia"	"Arthropoda"	"Insecta"
"71641"	1311477	"Vespa velutina"	50.129929	1.772008	"Animalia"	"Arthropoda"	"Insecta"
"71660"	1311477	"Vespa velutina"	43.86684	2.040067	"Animalia"	"Arthropoda"	"Insecta"
"71670"	1311477	"Vespa velutina"	46.62468	1.975222	"Animalia"	"Arthropoda"	"Insecta"
"71700"	1311477	"Vespa velutina"	48.948879	5.004555	"Animalia"	"Arthropoda"	"Insecta"
"71718"	1311477	"Vespa velutina"	44.216274	-1.225465	"Animalia"	"Arthropoda"	"Insecta"
"71750"	1311477	"Vespa velutina"	47.275252	4.099159	"Animalia"	"Arthropoda"	"Insecta"
"71766"	1311477	"Vespa velutina"	48.626987	3.822207	"Animalia"	"Arthropoda"	"Insecta"
"71778"	1311477	"Vespa velutina"	46.336944	4.384167	"Animalia"	"Arthropoda"	"Insecta"
"71799"	1311477	"Vespa velutina"	43.164121	-4.656529	"Animalia"	"Arthropoda"	"Insecta"
"71817"	1311477	"Vespa velutina"	47.7967	-4.244589	"Animalia"	"Arthropoda"	"Insecta"
"71826"	1311477	"Vespa velutina"	43.334431	-4.188882	"Animalia"	"Arthropoda"	"Insecta"
"71827"	1311477	"Vespa velutina"	47.334287	5.642773	"Animalia"	"Arthropoda"	"Insecta"
"71833"	1311477	"Vespa velutina"	43.058497	-4.469083	"Animalia"	"Arthropoda"	"Insecta"
"71863"	1311477	"Vespa velutina"	50.991786	2.128895	"Animalia"	"Arthropoda"	"Insecta"
"71870"	1311477	"Vespa velutina"	48.561162	8.152389	"Animalia"	"Arthropoda"	"Insecta"
"71874"	1311477	"Vespa velutina"	46.763736	5.690995	"Animalia"	"Arthropoda"	"Insecta"
"72112"	1311477	"Vespa velutina"	49.340347	-0.728155	"Animalia"	"Arthropoda"	"Insecta"
"72133"	1311477	"Vespa velutina"	50.78442	6.245492	"Animalia"	"Arthropoda"	"Insecta"
"72146"	1311477	"Vespa velutina"	47.825523	17.368826	"Animalia"	"Arthropoda"	"Insecta"
"72157"	1311477	"Vespa velutina"	49.863527	0.712136	"Animalia"	"Arthropoda"	"Insecta"
"72236"	1311477	"Vespa velutina"	43.776497	6.359987	"Animalia"	"Arthropoda"	"Insecta"
"72265"	1311477	"Vespa velutina"	45.540422	5.609844	"Animalia"	"Arthropoda"	"Insecta"
"72282"	1311477	"Vespa velutina"	41.847533	3.098086	"Animalia"	"Arthropoda"	"Insecta"
"72295"	1311477	"Vespa velutina"	43.184652	-5.403522	"Animalia"	"Arthropoda"	"Insecta"
"72310"	1311477	"Vespa velutina"	47.338546	-1.255846	"Animalia"	"Arthropoda"	"Insecta"
"72324"	1311477	"Vespa velutina"	43.551328	-8.006016	"Animalia"	"Arthropoda"	"Insecta"
"72376"	1311477	"Vespa velutina"	41.388892	2.183941	"Animalia"	"Arthropoda"	"Insecta"
"72434"	1311477	"Vespa velutina"	52.681483	7.590508	"Animalia"	"Arthropoda"	"Insecta"
